08014126013170090017386342;17386342;cwb_1211_tam_1312260;2013-11-12;0003;8014126;RODOJAN TRANSP LTDA;R DA STA MADALENA SOFIA BARAT 193;;82820490;BAIRRO ALTO;CURITIBA;PR;03103519000193;06327259000193; 
08014126013170090017386343;17386343;cwb_1211_tam_1312260;2013-11-12;0003;8014126;RODOJAN TRANSP LTDA;R DA STA MADALENA SOFIA BARAT 193;;82820490;BAIRRO ALTO;CURITIBA;PR;03103519000193;06327259000193; 
08014126013170090017386340;17386340;cwb_1211_tam_1312260;2013-11-12;0003;8014126;RODOJAN TRANSP LTDA;R DA STA MADALENA SOFIA BARAT 193;;82820490;BAIRRO ALTO;CURITIBA;PR;03103519000193;06327259000193; 
08014126013170090017386339;17386339;cwb_1211_tam_1312260;2013-11-12;0003;8014126;RODOJAN TRANSP LTDA;R DA STA MADALENA SOFIA BARAT 193;;82820490;BAIRRO ALTO;CURITIBA;PR;03103519000193;06327259000193; 
08014126013170090017386341;17386341;cwb_1211_tam_1312260;2013-11-12;0003;8014126;RODOJAN TRANSP LTDA;R DA STA MADALENA SOFIA BARAT 193;;82820490;BAIRRO ALTO;CURITIBA;PR;03103519000193;06327259000193; 
08016992013170090017421012;17421012;cwb_1211_tam_1312260;2013-11-12;0003;8016992;WAL-MART BRASIL LTDA;EST DA RIBEIRA 144;;82860000;ATUBA;CURITIBA;PR;03103519000193;06327259000193; 
08010415013170090017386315;17386315;cwb_1211_tam_1312260;2013-11-12;0003;8010415;ALL AMERICA LATINA LOGISTICA S LTDA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08006437013170090017384842;17384842;cwb_1211_tam_1312260;2013-11-12;0003;8006437;ALL AMERICA LATINA LOGISTICA M P SA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
01217910013170090017383513;17383513;cwb_1211_tam_1312260;2013-11-12;0003;1217910;RITMO LOGISTICA S A;R EMILIO BERTOLINI 100;;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08006437013170090017386293;17386293;cwb_1211_tam_1312260;2013-11-12;0003;8006437;ALL AMERICA LATINA LOGISTICA M P SA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08007192013170090017384846;17384846;cwb_1211_tam_1312260;2013-11-12;0003;8007192;ALL AMERICA LATINA LOGISTICA M N SA;R EMILIO BERTOLINI 100;;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
01217910013170090017385706;17385706;cwb_1211_tam_1312260;2013-11-12;0003;1217910;RITMO LOGISTICA S A;R EMILIO BERTOLINI 100;;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08005170013170090017384826;17384826;cwb_1211_tam_1312260;2013-11-12;0003;8005170;ALL AMERICA LATINA LOGISTICA M S SA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08005170013170090017386282;17386282;cwb_1211_tam_1312260;2013-11-12;0003;8005170;ALL AMERICA LATINA LOGISTICA M S SA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08005170013170090017386283;17386283;cwb_1211_tam_1312260;2013-11-12;0003;8005170;ALL AMERICA LATINA LOGISTICA M S SA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08010415013170090017386314;17386314;cwb_1211_tam_1312260;2013-11-12;0003;8010415;ALL AMERICA LATINA LOGISTICA S LTDA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
08010415013170090017384870;17384870;cwb_1211_tam_1312260;2013-11-12;0003;8010415;ALL AMERICA LATINA LOGISTICA S LTDA;R EMILIO BERTOLINI 100;SL.08;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
00603124013170090017382035;17382035;cwb_1211_tam_1312260;2013-11-12;0003;603124;ALL AMERICA LATINA LOGIS MALHA OESTE S A;R EMILIO BERTOLINI 100;SL 8;82920030;CAJURU;CURITIBA;PR;03103519000193;06327259000193; 
00707466011920960017423470;17423470;cwb_1211_tam_1312260;2013-11-12;0002;707466;SEA TRADE AGENCIAMENTO MARITIMO LTDA;R JOAQUIM SANTIAGO 157;;89240000;CENTRO;SAO FRANCISCO DO SUL;SC;03103519000193;06327259000193; 
00660856011920960017428768;17428768;cwb_1211_tam_1312260;2013-11-12;0002;660856;AMBIENTAL LIMPEZA URBANA E S LTDA;R JOSE THEODORO RIBEIRO 244;FUNDOS;89258001;ILHA DA FIGUEIRA;JARAGUA DO SUL;SC;03103519000193;06327259000193; 
00485002011920960017427047;17427047;cwb_1211_tam_1312260;2013-11-12;0002;485002;CAIXA ECONOMICA FEDERAL;R 28 DE AGOSTO 1108;;89270000;CENTRO;GUARAMIRIM;SC;03103519000193;06327259000193; 
00485002013402240017429463;17429463;cwb_1211_tam_1312260;2013-11-12;0007;485002;CAIXA ECONOMICA FEDERAL;R MAJ EX VIEIRA 376;;89460000;CENTRO;CANOINHAS;SC;03103519000193;06327259000193; 
